asset_id,asset_name,asset_name_zh,term,term_label,coefficient,std_error,t_stat,p_value,significance,ci_lower_95,ci_upper_95
allianz,Allianz Taiwan Smart,安聯台灣智慧,const,Alpha,0.1152921992081427,0.4738331390547069,0.24331814241222058,0.8087349955106472,,-0.8359675205958935,1.0665519190121788
allianz,Allianz Taiwan Smart,安聯台灣智慧,MKT_RF,MKT-RF,1.0854114326537518,0.1324234982289963,8.19651683553005,7.170529668688533e-11,***,0.819560166800771,1.3512626985067326
allianz,Allianz Taiwan Smart,安聯台灣智慧,SMB,SMB,-0.06447519473163045,0.1866485581819883,-0.3454363396087157,0.7311871452241666,,-0.4391878108906412,0.3102374214273803
allianz,Allianz Taiwan Smart,安聯台灣智慧,HML_BM,HML(BM),0.019253955631369377,0.14428206275782893,0.1334466340676477,0.8943653509191755,,-0.27040437190893885,0.3089122831716776
allianz,Allianz Taiwan Smart,安聯台灣智慧,EP,EP,-1.1630123524361362,0.28069331343243004,-4.14335609998812,0.00012900052999103786,***,-1.7265276929192588,-0.5994970119530136
allianz,Allianz Taiwan Smart,安聯台灣智慧,DY,DY,0.40413246321312457,0.3393138721479517,1.1910284146499908,0.23915623897321978,,-0.2770685595541259,1.085333485980375
allianz,Allianz Taiwan Smart,安聯台灣智慧,MOM,MOM,0.8043016527253747,0.18247521556080945,4.407730936245109,5.3925869820573413e-05,***,0.43796737148060993,1.1706359339701393
jko,JKO Taiwan 5Y,街口台灣5年,const,Alpha,0.30378702727694784,0.6034784537883848,0.5033933280797354,0.6168551571634606,,-0.9077465222839087,1.5153205768378044
jko,JKO Taiwan 5Y,街口台灣5年,MKT_RF,MKT-RF,0.8816532263671097,0.16865584394521838,5.227528473033417,3.227003383618234e-06,***,0.5430624912937689,1.2202439614404506
jko,JKO Taiwan 5Y,街口台灣5年,SMB,SMB,0.08233534444926406,0.2377174030465879,0.34635808482699926,0.7304985512334523,,-0.39490225582869404,0.5595729447272222
jko,JKO Taiwan 5Y,街口台灣5年,HML_BM,HML(BM),-0.37002729668093276,0.1837590260491266,-2.0136550820747643,0.04933663921255366,**,-0.7389389350262043,-0.0011156583356612404
jko,JKO Taiwan 5Y,街口台灣5年,EP,EP,-0.7855750811756311,0.35749370995215257,-2.1974514776239658,0.032555523094304734,**,-1.5032736512655696,-0.06787651108569281
jko,JKO Taiwan 5Y,街口台灣5年,DY,DY,0.011322343100875843,0.4321534186513574,0.026199823054067324,0.9792002074069227,,-0.8562618464700942,0.8789065326718459
jko,JKO Taiwan 5Y,街口台灣5年,MOM,MOM,0.5941009643405347,0.23240219365202633,2.556348350265904,0.013598710088810346,**,0.1275340921789287,1.0606678365021407
0050,0050 ETF,0050 ETF,const,Alpha,0.05184972481682866,0.15991880844616577,0.32422530733327143,0.7470935107917674,,-0.26920067958794075,0.37290012922159804
0050,0050 ETF,0050 ETF,MKT_RF,MKT-RF,1.0335151671378797,0.04469296531116836,23.124783955196943,1.0747266642884079e-28,***,0.9437902953318895,1.12324003894387
0050,0050 ETF,0050 ETF,SMB,SMB,-0.2144877383786592,0.06299393723749704,-3.4048949436198397,0.0012973388056867886,***,-0.3409533444049526,-0.08802213235236578
0050,0050 ETF,0050 ETF,HML_BM,HML(BM),-0.18532267030740432,0.0486952339433628,-3.8057660945412493,0.0003801927492044078,***,-0.2830824316638323,-0.08756290895097636
0050,0050 ETF,0050 ETF,EP,EP,0.17442600814714126,0.0947340667486276,1.841217358587302,0.07140957157351986,*,-0.01576056675342058,0.3646125830477031
0050,0050 ETF,0050 ETF,DY,DY,-0.07587609174979194,0.1145185206577333,-0.6625661186854331,0.5105918015148595,,-0.3057816152228361,0.15402943172325223
0050,0050 ETF,0050 ETF,MOM,MOM,-0.0784684941990543,0.0615854330105703,-1.2741404965941583,0.20838924604810252,,-0.20210640999894836,0.045169421600839754
