Mkt_RF,SMB,HML,RMW,CMA,RF,Date,month
-0.0007000000000000001,0.0681,0.0322,-0.0365,0.049699999999999994,0.0,2021-01-31,2021-01
0.0281,0.045,0.07200000000000001,0.0033,-0.0199,0.0,2021-02-28,2021-02
0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,2021-03-31,2021-03
0.049699999999999994,-0.0316,-0.0102,0.024300000000000002,-0.027200000000000002,0.0,2021-04-30,2021-04
0.0029,0.0127,0.0704,0.023399999999999997,0.0301,0.0,2021-05-31,2021-05
0.0273,-0.003,-0.0786,-0.021400000000000002,-0.009300000000000001,0.0,2021-06-30,2021-06
0.0134,-0.0455,-0.0179,0.055,-0.0059,0.0,2021-07-31,2021-07
0.029500000000000002,-0.0066,-0.0023,-0.0026,-0.0172,0.0,2021-08-31,2021-08
-0.044000000000000004,0.011200000000000002,0.0512,-0.0192,0.02,0.0,2021-09-30,2021-09
0.0663,-0.027000000000000003,-0.0053,0.0171,-0.0154,0.0,2021-10-31,2021-10
-0.0158,-0.017,-0.0037,0.0719,0.017,0.0,2021-11-30,2021-11
0.032400000000000005,-0.0078000000000000005,0.0325,0.048799999999999996,0.0429,0.0001,2021-12-31,2021-12
-0.061500000000000006,-0.0401,0.1286,0.0077,0.07730000000000001,0.0,2022-01-31,2022-01
-0.022799999999999997,0.0286,0.030600000000000002,-0.0203,0.030299999999999997,0.0,2022-02-28,2022-02
0.0308,-0.021099999999999997,-0.019,-0.015,0.0321,0.0,2022-03-31,2022-03
-0.0941,-0.0034999999999999996,0.061799999999999994,0.0341,0.0592,0.0,2022-04-30,2022-04
-0.0033,-0.0003,0.08439999999999999,0.0155,0.0395,0.0003,2022-05-31,2022-05
-0.084,0.013300000000000001,-0.06,0.0176,-0.0458,0.0006,2022-06-30,2022-06
0.09570000000000001,0.0178,-0.0415,0.0077,-0.06849999999999999,0.0008,2022-07-31,2022-07
-0.0377,0.0149,0.0018,-0.0478,0.0132,0.0019,2022-08-31,2022-08
-0.0934,-0.0097,0.0003,-0.0137,-0.0077,0.0019,2022-09-30,2022-09
0.0786,0.0181,0.0797,0.0327,0.0643,0.0023,2022-10-31,2022-10
0.046900000000000004,-0.0275,0.0148,0.063,0.0315,0.0029,2022-11-30,2022-11
-0.0638,-0.0019,0.0134,0.0032,0.042800000000000005,0.0033,2022-12-31,2022-12
0.0659,0.043899999999999995,-0.0394,-0.0242,-0.0443,0.0034999999999999996,2023-01-31,2023-01
-0.025699999999999997,0.0058,-0.008,0.0097,-0.0151,0.0034000000000000002,2023-02-28,2023-02
0.024900000000000002,-0.0689,-0.09050000000000001,0.0227,-0.021,0.0036,2023-03-31,2023-03
0.0063,-0.025699999999999997,-0.0012,0.0242,0.0285,0.0034999999999999996,2023-04-30,2023-04
0.0033,-0.0043,-0.0779,-0.0178,-0.0708,0.0036,2023-05-31,2023-05
0.0646,0.0128,-0.0013,0.0232,-0.0154,0.004,2023-06-30,2023-06
0.0321,0.0286,0.0406,-0.0059,0.0066,0.0045000000000000005,2023-07-31,2023-07
-0.0236,-0.0365,-0.0115,0.0335,-0.0241,0.0045000000000000005,2023-08-31,2023-08
-0.052300000000000006,-0.0178,0.0149,0.0187,-0.0077,0.0043,2023-09-30,2023-09
-0.0315,-0.0403,0.002,0.0241,-0.0069,0.004699999999999999,2023-10-31,2023-10
0.0888,-0.002,0.0167,-0.0373,-0.0108,0.0044,2023-11-30,2023-11
0.048600000000000004,0.0727,0.0489,-0.0297,0.0129,0.0043,2023-12-31,2023-12
0.0073,-0.0572,-0.023799999999999998,0.0067,-0.0097,0.004699999999999999,2024-01-31,2024-01
0.0507,-0.008199999999999999,-0.034300000000000004,-0.0206,-0.0217,0.0042,2024-02-29,2024-02
0.028399999999999998,-0.0121,0.0416,0.013300000000000001,0.011399999999999999,0.0043,2024-03-31,2024-03
-0.04650000000000001,-0.0259,-0.0045000000000000005,0.011399999999999999,-0.0031,0.004699999999999999,2024-04-30,2024-04
0.0432,0.0059,-0.0131,0.0317,-0.0285,0.0044,2024-05-31,2024-05
0.027999999999999997,-0.0432,-0.0336,0.005600000000000001,-0.018000000000000002,0.0040999999999999995,2024-06-30,2024-06
0.012199999999999999,0.0834,0.0562,0.0026,0.0028000000000000004,0.0045000000000000005,2024-07-31,2024-07
0.0161,-0.0355,-0.011000000000000001,0.0076,0.008199999999999999,0.0048,2024-08-31,2024-08
0.0173,-0.0092,-0.0276,0.002,-0.0029,0.004,2024-09-30,2024-09
-0.01,-0.0089,0.0086,-0.0148,0.0098,0.0039000000000000003,2024-10-31,2024-10
0.0649,0.045899999999999996,0.0015,-0.0231,-0.020499999999999997,0.004,2024-11-30,2024-11
-0.0315,-0.0383,-0.03,0.0189,-0.0121,0.0037,2024-12-31,2024-12
0.027999999999999997,-0.0123,0.0163,-0.0235,-0.032400000000000005,0.0037,2025-01-31,2025-01
-0.024300000000000002,-0.049100000000000005,0.049100000000000005,0.0108,0.030600000000000002,0.0033,2025-02-28,2025-02
-0.0639,-0.0149,0.028999999999999998,0.021099999999999997,-0.004699999999999999,0.0034000000000000002,2025-03-31,2025-03
-0.0084,-0.018600000000000002,-0.034,-0.0285,-0.026699999999999998,0.0034999999999999996,2025-04-30,2025-04
0.060599999999999994,-0.0072,-0.0288,0.0129,0.025099999999999997,0.0038,2025-05-31,2025-05
0.048600000000000004,-0.0002,-0.0161,-0.032,0.0144,0.0034000000000000002,2025-06-30,2025-06
0.019799999999999998,-0.0015,-0.0127,-0.0031,-0.0207,0.0034000000000000002,2025-07-31,2025-07
0.018500000000000003,0.048799999999999996,0.044199999999999996,-0.0068000000000000005,0.0208,0.0038,2025-08-31,2025-08
0.0339,-0.0218,-0.0105,-0.0206,-0.0222,0.0033,2025-09-30,2025-09
0.0196,-0.013000000000000001,-0.031,-0.0521,-0.0403,0.0037,2025-10-31,2025-10
-0.0013,0.0147,0.037599999999999995,0.014199999999999999,0.0068000000000000005,0.003,2025-11-30,2025-11
-0.0036,-0.0022,0.0242,0.004,0.0037,0.0034000000000000002,2025-12-31,2025-12
