fund_id,fund_name,term,term_label,coef,std_err,t_stat,p_value,ci_lower_95,ci_upper_95
cathay_esg,國泰台灣 ESG 永續高股息 ETF (00878),const,Alpha,-0.21712027062148728,0.33924872204915263,-0.640003208589919,0.5248277509358099,-0.8969899022816009,0.4627493610386263
cathay_esg,國泰台灣 ESG 永續高股息 ETF (00878),mkt_rf,MKT-RF,0.624892891163506,0.07428736724614864,8.411832513769735,1.8688747560927713e-11,0.4760176803695769,0.7737681019574351
cathay_esg,國泰台灣 ESG 永續高股息 ETF (00878),smb,SMB,0.07183858557408995,0.10505862192062992,0.6837952398458342,0.4969754075235218,-0.1387035976254951,0.282380768773675
cathay_esg,國泰台灣 ESG 永續高股息 ETF (00878),hml,HML,0.18500420440851406,0.09801648406889941,1.8874805209138878,0.06437669124661308,-0.011425219166107448,0.38143362798313557
cathay_esg,國泰台灣 ESG 永續高股息 ETF (00878),mom,MOM,0.16654230173277293,0.10216592359160936,1.630115951366495,0.10879140327709685,-0.038202784470909246,0.3712873879364551
uni_penta,統一奔騰基金,const,Alpha,0.8151969661220535,0.6596306671351772,1.235838487713908,0.2217710154086718,-0.506732431247737,2.137126363491844
uni_penta,統一奔騰基金,mkt_rf,MKT-RF,1.144581667078722,0.14444336096627405,7.9240863645229735,1.1596436591837072e-10,0.8551107030535097,1.4340526311039345
uni_penta,統一奔騰基金,smb,SMB,0.499646035167555,0.20427457603146648,2.4459531130814316,0.01767400078337393,0.09027063671309271,0.9090214336220173
uni_penta,統一奔騰基金,hml,HML,0.0574599752754958,0.1905819376004753,0.3014974871120867,0.7641721823781871,-0.32447476256187413,0.4393947131128657
uni_penta,統一奔騰基金,mom,MOM,0.3704966847221961,0.198650052180449,1.8650721741852132,0.06750958865817618,-0.027606916050149255,0.7686002854945415
nomura_growth,野村成長基金,const,Alpha,0.7026910317843845,0.6189777174201904,1.1352444716638574,0.26119602962543637,-0.5377680337837708,1.94315009735254
nomura_growth,野村成長基金,mkt_rf,MKT-RF,1.2968642739789402,0.13554133596563492,9.568035202985948,2.648914644376104e-13,1.0252333667169682,1.5684951812409123
nomura_growth,野村成長基金,smb,SMB,0.46027469633305096,0.19168516125558302,2.401201497904914,0.019749135824560393,0.07612904888486116,0.8444203437812408
nomura_growth,野村成長基金,hml,HML,-0.2771046792923151,0.17883639829814757,-1.5494870279725679,0.12700023360489568,-0.6355008303639376,0.08129147177930734
nomura_growth,野村成長基金,mom,MOM,0.178744438374428,0.1864072760565846,0.958891960419879,0.3418096044699848,-0.19482409077391005,0.552312967522766
