證券代碼,年月,市場風險溢酬,規模溢酬 (3因子),淨值市價比溢酬,動能因子,無風險利率
Z9999 上市＋上櫃,202001,-4.4185,-0.607,-0.2488,0.0209,1.045
Z9999 上市＋上櫃,202002,-1.6969,1.2738,-0.9445,-0.3592,1.045
Z9999 上市＋上櫃,202003,-14.1796,-3.2833,-2.0207,5.0135,0.795
Z9999 上市＋上櫃,202004,13.4851,5.1576,2.3809,0.8629,0.795
Z9999 上市＋上櫃,202005,0.1281,8.001,-1.5884,0.9906,0.795
Z9999 上市＋上櫃,202006,6.9115,1.0738,-1.151,3.2858,0.795
Z9999 上市＋上櫃,202007,9.9162,-4.6,-5.5697,12.2547,0.795
Z9999 上市＋上櫃,202008,0.1033,3.4352,7.0394,-2.8229,0.795
Z9999 上市＋上櫃,202009,-0.5542,0.691,0.0595,-0.3582,0.795
Z9999 上市＋上櫃,202010,0.1843,0.2077,2.0195,0.3466,0.795
Z9999 上市＋上櫃,202011,9.3044,-0.9863,2.0669,0.0562,0.795
Z9999 上市＋上櫃,202012,7.1594,-2.6139,3.1511,2.4832,0.795
Z9999 上市＋上櫃,202101,2.159,-6.0326,-5.1211,3.6773,0.795
Z9999 上市＋上櫃,202102,5.6097,2.4916,2.909,3.753,0.795
Z9999 上市＋上櫃,202103,3.307,4.2666,6.8896,2.9574,0.795
Z9999 上市＋上櫃,202104,6.8376,-0.7155,13.8087,3.9953,0.795
Z9999 上市＋上櫃,202105,-3.1517,-6.3804,-0.1068,-0.5906,0.795
Z9999 上市＋上櫃,202106,4.4408,2.9232,6.5403,7.1333,0.795
Z9999 上市＋上櫃,202107,-1.6915,4.589,-0.9538,-0.6819,0.795
Z9999 上市＋上櫃,202108,2.0308,-4.1605,0.9455,-0.6039,0.795
Z9999 上市＋上櫃,202109,-2.9543,2.4948,1.5284,-3.491,0.795
Z9999 上市＋上櫃,202110,0.4619,1.8489,-0.9877,-0.6307,0.795
Z9999 上市＋上櫃,202111,2.7605,2.2938,-0.9817,4.0628,0.795
Z9999 上市＋上櫃,202112,4.6572,1.3599,-0.5911,-0.17,0.795
Z9999 上市＋上櫃,202201,-3.5195,-4.5642,0.4848,-5.1598,0.795
Z9999 上市＋上櫃,202202,-0.0627,1.3917,2.6511,5.4526,0.795
Z9999 上市＋上櫃,202203,0.4447,0.5808,2.5761,2.0041,1.045
Z9999 上市＋上櫃,202204,-6.5461,0.655,4.218,-1.0561,1.045
Z9999 上市＋上櫃,202205,1.3589,0.8968,-1.8699,-2.0565,1.045
Z9999 上市＋上櫃,202206,-10.3602,4.1359,3.7392,1.6412,1.2
Z9999 上市＋上櫃,202207,3.0134,0.5799,-1.1939,0.1068,1.2
Z9999 上市＋上櫃,202208,1.7543,5.1817,2.5361,2.1997,1.2
Z9999 上市＋上櫃,202209,-11.0687,0.8221,4.2588,3.8487,1.325
Z9999 上市＋上櫃,202210,-3.7037,-1.6415,2.0228,-2.3984,1.325
Z9999 上市＋上櫃,202211,14.6451,-3.1544,-6.1514,-6.5318,1.325
Z9999 上市＋上櫃,202212,-4.7267,3.4568,1.1083,2.0985,1.45
Z9999 上市＋上櫃,202301,7.8156,-3.7259,-4.349,-3.4194,1.45
Z9999 上市＋上櫃,202302,1.7946,4.6019,-0.5219,4.5048,1.45
Z9999 上市＋上櫃,202303,2.5436,1.5298,-3.1532,-0.1736,1.575
Z9999 上市＋上櫃,202304,-1.8452,3.9676,3.0315,3.7124,1.575
Z9999 上市＋上櫃,202305,6.0687,-1.5208,-2.5879,4.5707,1.575
Z9999 上市＋上櫃,202306,3.422,1.7578,0.9452,5.1099,1.575
Z9999 上市＋上櫃,202307,2.0907,-3.2526,3.4026,5.8316,1.575
Z9999 上市＋上櫃,202308,-2.779,-0.0471,1.1824,0.2239,1.575
Z9999 上市＋上櫃,202309,-1.4472,2.0756,1.7427,-1.5715,1.575
Z9999 上市＋上櫃,202310,-2.2206,1.5504,-1.5141,-1.6167,1.575
Z9999 上市＋上櫃,202311,8.9497,0.3326,-0.2749,5.89,1.575
Z9999 上市＋上櫃,202312,2.702,-1.9558,2.1723,0.0293,1.575
Z9999 上市＋上櫃,202401,-0.1377,1.7561,0.1511,6.1843,1.575
Z9999 上市＋上櫃,202402,5.7585,2.4949,-1.1266,6.3394,1.575
Z9999 上市＋上櫃,202403,6.6041,-7.9449,1.6685,3.3173,1.7
Z9999 上市＋上櫃,202404,0.2691,1.3187,3.8834,-1.4161,1.7
Z9999 上市＋上櫃,202405,3.6538,1.6483,3.0998,1.8451,1.7
Z9999 上市＋上櫃,202406,8.8215,-2.9474,-5.2479,6.4706,1.7
Z9999 上市＋上櫃,202407,-2.8065,0.6718,5.0572,0.3055,1.7
Z9999 上市＋上櫃,202408,0.838,1.5962,-0.1855,2.2623,1.7
Z9999 上市＋上櫃,202409,-0.3328,0.0442,1.3317,-2.1372,1.7
Z9999 上市＋上櫃,202410,2.1925,-1.6786,-2.3326,3.2792,1.7
Z9999 上市＋上櫃,202411,-2.6018,-0.1175,0.9103,0.351,1.7
Z9999 上市＋上櫃,202412,3.1705,-2.2099,-5.5855,5.2321,1.7
Z9999 上市＋上櫃,202501,1.7037,-3.0658,-2.5409,0.7766,1.7
Z9999 上市＋上櫃,202502,-1.8267,5.2474,4.0049,-5.4434,1.7
Z9999 上市＋上櫃,202503,-10.1926,0.6855,1.7343,0.4131,1.7
Z9999 上市＋上櫃,202504,-2.47,-1.7383,-2.6328,0.944,1.7
Z9999 上市＋上櫃,202505,5.1681,-1.9266,-1.8105,-1.729,1.7
Z9999 上市＋上櫃,202506,4.7724,-4.6161,-3.7064,3.9401,1.7
Z9999 上市＋上櫃,202507,6.3812,-4.7023,-2.6821,-1.5064,1.7
Z9999 上市＋上櫃,202508,3.5333,3.4556,-2.1825,-1.5949,1.7
Z9999 上市＋上櫃,202509,6.3356,-6.4075,-1.6785,0.1097,1.7
Z9999 上市＋上櫃,202510,8.6172,-8.2728,-3.3941,4.8938,1.7
Z9999 上市＋上櫃,202511,-2.1469,-0.0551,4.3269,-1.3636,1.7
Z9999 上市＋上櫃,202512,4.8875,-0.4004,-0.9368,4.8496,1.7
Z9999 上市＋上櫃,202601,10.5437,-7.3659,1.764,4.8336,1.7
Z9999 上市＋上櫃,202602,9.7706,-4.2617,-5.2259,8.0117,1.7
Z9999 上市＋上櫃,202603,-9.726,5.8901,1.8742,-0.6094,1.7
